beta,delta,has_reversal,reversal_share
0.9400000000000001,0.997,0,0.0
0.9400000000000001,0.998,0,0.0
0.9400000000000001,0.999,0,0.0
0.9600000000000001,0.985,1,0.05
0.9600000000000001,0.986,1,0.05
0.9600000000000001,0.987,0,0.0
0.9600000000000001,0.988,1,0.05
0.9600000000000001,0.989,1,0.05
0.9600000000000001,0.99,0,0.0
0.9600000000000001,0.991,1,0.1
0.9600000000000001,0.992,0,0.0
0.9600000000000001,0.993,0,0.0
0.9600000000000001,0.994,0,0.0
0.9600000000000001,0.995,0,0.0
0.9600000000000001,0.996,0,0.0
0.9600000000000001,0.997,0,0.0
0.9600000000000001,0.998,0,0.0
0.9600000000000001,0.999,0,0.0
0.98,0.985,1,0.05
0.98,0.986,0,0.0
0.98,0.987,0,0.0
0.98,0.988,1,0.05
0.98,0.989,0,0.0
0.98,0.99,0,0.0
0.98,0.991,1,0.05
0.98,0.992,0,0.0
0.98,0.993,0,0.0
0.98,0.994,0,0.0
0.98,0.995,0,0.0
0.98,0.996,0,0.0
0.98,0.997,0,0.0
0.98,0.998,0,0.0
0.98,0.999,0,0.0
1.0,0.985,0,0.0
1.0,0.986,0,0.0
1.0,0.987,0,0.0
1.0,0.988,0,0.0
1.0,0.989,0,0.0
1.0,0.99,0,0.0
1.0,0.991,0,0.0
1.0,0.992,0,0.0
1.0,0.993,0,0.0
1.0,0.994,0,0.0
1.0,0.995,0,0.0
1.0,0.996,0,0.0
1.0,0.997,0,0.0
1.0,0.998,0,0.0
1.0,0.999,0,0.0
